EQUIPAMENTO,IP/IN,FP,POT(W),FD,Hora/d,3F?,NT?,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,CAT
ESTAÇÃO DE CARGA WEG WEMOB 22 KW,1.2,0.95,22000,1.0,3.0,1,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,ESPEC
"ESTAÇÃO DE CARGA WEG WEMOB 7,5 KW",1.2,0.95,7500,1.0,6.0,0,1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,ESPEC
EXAUSTOR,6.0,0.7,170,0.75,6.0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.03,MOT_L
FERRO ELÉTRICO AUTOMÁTICO DE PASSAR ROUPA,1.0,1.0,1000,0.9,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
FERRO ELÉTRICO SIMPLES DE PASSAR ROUPA,1.0,1.0,500,0.9,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
FOGÃO ELÉTRICO DE 4B QUEIMADOR NORMAL,1.0,1.0,1500,0.8,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.02,0.07,0.1,0.1,0.06,0.03,0.03,0.03,0.08,0.1,0.1,0.07,0.05,0.03,0.0,FORNO
FOGÃO ELÉTRICO DE 6B QUEIMADOR GRANDE,1.0,1.0,2700,0.8,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.02,0.07,0.1,0.1,0.06,0.03,0.03,0.03,0.08,0.1,0.1,0.07,0.05,0.03,0.0,FORNO
FOGÃO ELÉTRICO DE 6B QUEIMADOR MÉDIO,1.0,1.0,2100,0.8,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.02,0.07,0.1,0.1,0.06,0.03,0.03,0.03,0.08,0.1,0.1,0.07,0.05,0.03,0.0,FORNO
FORNO DE MICROONDAS,3.0,0.85,1000,0.8,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.02,0.07,0.1,0.1,0.06,0.03,0.03,0.03,0.08,0.1,0.1,0.07,0.05,0.03,0.0,FORNO
FORNO ELÉTRICO DE EMBUTIR,1.0,1.0,4500,0.8,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.02,0.07,0.1,0.1,0.06,0.03,0.03,0.03,0.08,0.1,0.1,0.07,0.05,0.03,0.0,FORNO
